id,osmId,name,elevation,coordinates
view216,node/4880108138,Belvedere Basso,,"[11.2347599, 46.0872066]"
view217,node/4900402136,Punto Panoramico Cangart,,"[11.2516466, 45.9589783]"
view218,node/4938219707,La Predolcia (981 m),,"[11.2635057, 46.0842912]"
view219,node/4969126522,Madonnina,,"[10.9295398, 45.7641777]"
view220,node/4987809199,Croce di Lorina,,"[10.6307974, 45.8318021]"
view221,node/5008307213,Bocchetta dei Cacciatori,2897,"[10.5753425, 46.0630624]"
view222,node/5009394691,Giuel,,"[11.0829491, 46.2116879]"
view223,node/5027116605,Aussichtspunkt Obervintl - Punto panoramico Vandoies di Sopra,,"[11.7648244, 46.8137332]"
view224,node/5027123292,Seefeld See - Lago Grande,,"[11.6602323, 46.8772275]"
view225,node/5027249151,Meransen,,"[11.6625111, 46.8410383]"
view226,node/5034947022,Salt de la volp,,"[11.1850624, 45.9255624]"
view227,node/5060180851,Busa dei Orsi,,"[11.1024013, 46.064986]"
view228,node/5060180852,Busa dei Orsi,,"[11.1023135, 46.0648902]"
view229,node/5107974434,Wasserfall - Cascata,,"[11.0506543, 46.6938829]"
view230,node/5132785775,Colle Tondo,,"[11.0791913, 45.8064888]"
view231,node/5166832571,Blick auf Partschins - Vista di Parcines,,"[11.0728005, 46.6892577]"
view232,node/5304966508,Croz del corf,,"[11.2469769, 46.0868984]"
view233,node/5320129623,Panorama Lago Toblino,,"[10.9718751, 46.0575541]"
view234,node/5353051774,,1570,"[11.3118528, 46.1819843]"
view235,node/5374635083,,525,"[10.882637, 46.0458687]"
view236,node/5690865742,Spilucker Platte - Piana di Spelonca,,"[11.6202019, 46.7532384]"
view237,node/5809942361,Belvedere (Val de Sora),,"[10.9241455, 46.1081317]"
view238,node/5827708429,Croz de la Crosara,,"[11.2209066, 46.0933464]"
view239,node/5827928550,Rupe del Renner,,"[11.2220846, 46.087499]"
view240,node/5836460604,Doss de la Noz,,"[11.1362072, 45.9146035]"
view241,node/5837621792,,2277,"[12.1958245, 46.8816911]"
view242,node/5955517198,Balest,1823,"[11.6979163, 46.5775082]"
view243,node/5974230630,Ritztal,,"[11.5158144, 46.4812788]"
view244,node/5999916585,Fotopoint Ranui,,"[11.7219325, 46.6367559]"
view245,node/6172526923,I Brusai,,"[10.9927438, 45.7929838]"
view246,node/6227723898,Doss delle Caore,,"[11.1046502, 45.9276021]"
view247,node/6227725059,Doss delle Caore,,"[11.1046502, 45.9276021]"
view248,node/6285620604,Dos de Sguiz,,"[11.0989825, 45.8760979]"
view249,node/6549853263,Doss Tondo,,"[11.267657, 45.9772572]"
view250,node/6634632826,Punto panoramico del Casom,,"[11.1335659, 45.9204292]"
view251,node/6643766585,Ferdinands-Höhe,,"[11.2121717, 46.4188859]"
view252,node/6765729137,Belvedere,,"[11.0099041, 45.8853141]"
view253,node/6830811503,Dolomites UNESCO Welterbeterrasse Mastlé - Dolomites UNESCO Balcone panoramico Mastlé,,"[11.7475766, 46.5905179]"
view254,node/7133638010,Titschen Warte,,"[11.3818862, 46.4677932]"
view255,node/7568056333,Spizerle,,"[11.0892082, 45.7947573]"
view256,node/7643902734,Rienzschlucht - Gola Rienza,,"[11.6904038, 46.7749385]"
view257,node/7744637206,Belvedere Andreola,,"[11.6557098, 46.3084872]"
view258,node/7746309608,Ponte,,"[11.4526207, 46.2772304]"
view259,node/7796955362,Tristenbach Wasserfall - cascata Rio Covoni,,"[12.0944586, 46.936173]"
view260,node/7813719492,Finestra sul lago,,"[10.7642975, 46.2920447]"
view261,node/7839401944,Teleferica,,"[11.0736877, 45.8292252]"
view262,node/7843487803,Aussichtsplattform Dreiländerblick,,"[10.693778, 46.8570545]"
view263,node/7872815988,Punto panoramico,,"[10.7299472, 46.2911293]"
view264,node/8075681135,Dos de le Masere,,"[10.9320788, 46.0580553]"
view265,node/8124527720,Osservatorio faunistico Priori,,"[11.0073928, 46.1891318]"
view266,node/8149169714,Belvedere,,"[11.0015825, 46.3700459]"
view267,node/8306107120,Atzwanger Aussicht,,"[11.4793896, 46.5345685]"
view268,node/8572567682,,1057,"[11.2518081, 46.1305118]"
view269,node/8641598769,Molinel,410,"[11.0660809, 46.1579952]"
view270,node/8814621398,Kral-Zäundl,,"[11.490668, 46.8767989]"
view271,node/8917207910,Vista sul lago Verde,,"[11.0876942, 46.7324818]"
view272,node/8956881409,Aussicht auf den Kalterer See - Vista sul Lago di Caldaro,,"[11.2419888, 46.381725]"
view273,node/9046348042,Punto panoramico Crozati,,"[11.2625866, 46.1130973]"
view274,node/9047607084,Punto panoramico La Valeta,,"[11.2591775, 46.1127615]"
view275,node/9048192429,Maregiat,,"[11.2615701, 46.1032293]"
view276,node/9190039096,Rastplatz HaochWool Klettersteig,,"[10.9769815, 46.6536056]"
view277,node/9225460121,2-Seen-Blick,,"[12.1901116, 46.8822941]"
view278,node/9225463139,Punto panoramico,,"[10.91783, 45.9412487]"
view279,node/9272769980,Panoramakino,,"[11.6181828, 46.75873]"
view280,node/9482436334,Miravalle,,"[10.7211096, 46.0339229]"
view281,node/9543423892,Gamp - Monte Campo,,"[11.5071578, 46.6808401]"
