Unnamed: 0,type,name_id,country,crag,sector,name,tall_recommend_sum,grade_mean,cluster,rating_tot,coordinates
33884,climb_rooute,33884,ita,arco,belvedere,fete de fete,-1,45.333333333333336,0,-0.0452114488928387,"[46.0458668, 11.105379]"
33885,climb_rooute,33885,ita,arco,belvedere,fini flambee,0,50.93333333333333,2,-0.0514415233199913,"[46.0458668, 11.105379]"
33886,climb_rooute,33886,ita,arco,belvedere,giordano,0,36.0,2,-0.0486015041891477,"[46.0458668, 11.105379]"
33887,climb_rooute,33887,ita,arco,belvedere,have a nice day,0,50.0,2,-0.16490179498667,"[46.0458668, 11.105379]"
33888,climb_rooute,33888,ita,arco,belvedere,i dont know,0,55.5,7,-0.1050566219397543,"[46.0458668, 11.105379]"
33889,climb_rooute,33889,ita,arco,belvedere,iesati pulanilor,0,55.0,2,-0.0027542143573183,"[46.0458668, 11.105379]"
33890,climb_rooute,33890,ita,arco,belvedere,il dolce,1,44.36363636363637,3,-0.0189253756642944,"[46.0458668, 11.105379]"
33891,climb_rooute,33891,ita,arco,belvedere,inox,0,55.0,2,-0.16490179498667,"[46.0458668, 11.105379]"
33892,climb_rooute,33892,ita,arco,belvedere,koko jumbo,0,41.0,2,-0.0734745342424936,"[46.0458668, 11.105379]"
33893,climb_rooute,33893,ita,arco,belvedere,last train home,-1,54.84,2,-0.0258818789808208,"[46.0458668, 11.105379]"
33894,climb_rooute,33894,ita,arco,belvedere,loro del reno,-1,45.84,2,-0.0684134390497554,"[46.0458668, 11.105379]"
33895,climb_rooute,33895,ita,arco,belvedere,nacquimo forti,0,50.875,2,-0.1170256565491374,"[46.0458668, 11.105379]"
33896,climb_rooute,33896,ita,arco,belvedere,nimath,0,45.625,2,-0.121195474837593,"[46.0458668, 11.105379]"
33897,climb_rooute,33897,ita,arco,belvedere,nirvana,0,62.0,2,-0.1250050129553928,"[46.0458668, 11.105379]"
33898,climb_rooute,33898,ita,arco,belvedere,no job no problem,0,48.0,2,-0.0734745342424936,"[46.0458668, 11.105379]"
33899,climb_rooute,33899,ita,arco,belvedere,noroc,0,62.0,7,-0.1705123000348193,"[46.0458668, 11.105379]"
33900,climb_rooute,33900,ita,arco,belvedere,overdose,1,61.5,7,-0.0417115871252142,"[46.0458668, 11.105379]"
33901,climb_rooute,33901,ita,arco,belvedere,paranoia virginului ionizat,0,57.5,7,0.4077424580434804,"[46.0458668, 11.105379]"
33902,climb_rooute,33902,ita,arco,belvedere,patatina fritta,0,40.6875,2,-0.0346920962111855,"[46.0458668, 11.105379]"
33903,climb_rooute,33903,ita,arco,belvedere,pea brain,-4,49.083333333333336,2,-0.0134305167492606,"[46.0458668, 11.105379]"
33904,climb_rooute,33904,ita,arco,belvedere,piccola chimera,0,33.24,2,-0.0904597677396611,"[46.0458668, 11.105379]"
33905,climb_rooute,33905,ita,arco,belvedere,ponale,0,36.0,1,-0.095460697388109,"[46.0458668, 11.105379]"
33906,climb_rooute,33906,ita,arco,belvedere,povero gatto,-2,55.51515151515152,2,-0.0832565306468748,"[46.0458668, 11.105379]"
33907,climb_rooute,33907,ita,arco,belvedere,quinto,0,31.0,2,-0.0452114488928387,"[46.0458668, 11.105379]"
33908,climb_rooute,33908,ita,arco,belvedere,renato butta la pasta,-1,42.04761904761905,2,-0.0159274887099653,"[46.0458668, 11.105379]"
33909,climb_rooute,33909,ita,arco,belvedere,sector a no,0,31.0,2,-0.0734745342424936,"[46.0458668, 11.105379]"
33910,climb_rooute,33910,ita,arco,belvedere,si badrone,1,48.875,2,0.0184432622718767,"[46.0458668, 11.105379]"
33911,climb_rooute,33911,ita,arco,belvedere,spettacolo,1,36.0,2,-0.046578561846121,"[46.0458668, 11.105379]"
33912,climb_rooute,33912,ita,arco,belvedere,storch,0,32.75,2,-0.0734745342424936,"[46.0458668, 11.105379]"
33913,climb_rooute,33913,ita,arco,belvedere,urlo del vento,-1,49.0,2,-0.0414244749307683,"[46.0458668, 11.105379]"
33914,climb_rooute,33914,ita,arco,belvedere,val di non,2,47.27777777777778,2,-0.0176026510417723,"[46.0458668, 11.105379]"
33915,climb_rooute,33915,ita,arco,belvedere,via del biscotto,0,38.16,2,-0.0183164150932176,"[46.0458668, 11.105379]"
33916,climb_rooute,33916,ita,arco,belvedere,warm up,2,40.38235294117647,8,0.0007294999375359,"[46.0458668, 11.105379]"
33917,climb_rooute,33917,ita,arco,belvedere,without name,-1,34.23529411764706,2,-0.1032660687018822,"[46.0458668, 11.105379]"
33918,climb_rooute,33918,ita,arco,belvedere,zorro in condotta,0,44.16666666666666,1,-0.0415775093758366,"[46.0458668, 11.105379]"
33919,climb_rooute,33919,ita,arco,belvedere,zucchina trafelata,0,36.16666666666666,2,-0.0283294325549132,"[46.0458668, 11.105379]"
33920,climb_rooute,33920,ita,arco,calvario,a bad day with la sciolta,-3,49.24,3,0.0316699531946974,"[46.0919923, 10.7200981]"
33921,climb_rooute,33921,ita,arco,calvario,ali di pollo,0,57.0,5,0.1573394833951553,"[46.0919923, 10.7200981]"
33922,climb_rooute,33922,ita,arco,calvario,bionda,0,40.54545454545455,2,-0.0452114488928387,"[46.0919923, 10.7200981]"
33923,climb_rooute,33923,ita,arco,calvario,bolle di sapone,1,46.2,2,-0.0134028526745449,"[46.0919923, 10.7200981]"
33924,climb_rooute,33924,ita,arco,calvario,chris,0,57.0,2,-0.0229861245454738,"[46.0919923, 10.7200981]"
33925,climb_rooute,33925,ita,arco,calvario,gandalf,-2,56.72727272727273,0,-0.0358545677005255,"[46.0919923, 10.7200981]"
33926,climb_rooute,33926,ita,arco,calvario,karin,0,38.0,2,-0.0452114488928387,"[46.0919923, 10.7200981]"
33927,climb_rooute,33927,ita,arco,calvario,minifabbris,0,58.8,2,-0.16490179498667,"[46.0919923, 10.7200981]"
33928,climb_rooute,33928,ita,arco,calvario,motosega,-1,55.16666666666666,2,-0.069149518111605,"[46.0919923, 10.7200981]"
33929,climb_rooute,33929,ita,arco,calvario,polvere,2,39.86363636363637,1,-0.0505811623782819,"[46.0919923, 10.7200981]"
33930,climb_rooute,33930,ita,arco,calvario,polverom,0,44.64705882352941,2,-0.0722182805103209,"[46.0919923, 10.7200981]"
33931,climb_rooute,33931,ita,arco,calvario,puta tigre,0,56.833333333333336,2,0.0387079795016242,"[46.0919923, 10.7200981]"
33932,climb_rooute,33932,ita,arco,calvario,resentin,0,58.285714285714285,0,0.0299965478716125,"[46.0919923, 10.7200981]"
33933,climb_rooute,33933,ita,arco,calvario,sega elettrica,0,55.1,2,-0.0784349080517976,"[46.0919923, 10.7200981]"
33934,climb_rooute,33934,ita,arco,calvario,sfiancata,-1,36.388888888888886,2,-0.0131527010655873,"[46.0919923, 10.7200981]"
33935,climb_rooute,33935,ita,arco,calvario,smacafam,-1,49.60869565217392,3,-0.0806915510373554,"[46.0919923, 10.7200981]"
33936,climb_rooute,33936,ita,arco,calvario,via crucis,1,50.92307692307692,2,0.0280950910200377,"[46.0919923, 10.7200981]"
33937,climb_rooute,33937,ita,arco,calvario,vibrafono,2,39.2,2,-0.0306798856042623,"[46.0919923, 10.7200981]"
33938,climb_rooute,33938,ita,arco,calvario,xilofono,1,46.0,2,0.0162000106611891,"[46.0919923, 10.7200981]"
33939,climb_rooute,33939,ita,arco,camerette,austria,0,33.0,2,-0.0452843782198033,"[46.0927098, 11.1062932]"
33940,climb_rooute,33940,ita,arco,camerette,bampa,1,58.0,3,0.3186727157957493,"[46.0927098, 11.1062932]"
33941,climb_rooute,33941,ita,arco,camerette,benny,0,35.916666666666664,2,0.0154904513176696,"[46.0927098, 11.1062932]"
33942,climb_rooute,33942,ita,arco,camerette,dx sx,0,57.66666666666666,2,-0.0452114488928387,"[46.0927098, 11.1062932]"
33943,climb_rooute,33943,ita,arco,camerette,ficcanaso,0,36.5,1,-0.16490179498667,"[46.0927098, 11.1062932]"
33944,climb_rooute,33944,ita,arco,camerette,fratello sole,0,52.0,1,-0.1050566219397543,"[46.0927098, 11.1062932]"
33945,climb_rooute,33945,ita,arco,camerette,ikebana,0,61.642857142857146,2,-0.121531912887779,"[46.0927098, 11.1062932]"
33946,climb_rooute,33946,ita,arco,camerette,il topo,-1,48.91304347826087,2,-0.1375071148871752,"[46.0927098, 11.1062932]"
33947,climb_rooute,33947,ita,arco,camerette,initiator,0,36.0,2,-0.0518219168866391,"[46.0927098, 11.1062932]"
33948,climb_rooute,33948,ita,arco,camerette,jack,-1,44.333333333333336,1,-0.0851082309241157,"[46.0927098, 11.1062932]"
33949,climb_rooute,33949,ita,arco,camerette,libia,0,60.333333333333336,3,-0.0452114488928387,"[46.0927098, 11.1062932]"
